Id,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,1stFlrSF,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,GarageCars,PoolArea,SalePrice
41,8658,NAmes,6,5,1965,643,1324,1324,2,0,6,2,0,160000
42,16905,Timber,5,6,1959,967,1328,1328,1,1,5,1,0,170000
43,9180,SawyerW,5,7,1983,747,884,884,1,0,5,2,0,144000
44,9200,CollgCr,5,6,1975,280,938,938,1,0,5,1,0,130250
45,7945,NAmes,5,6,1959,179,1150,1150,1,0,6,1,0,141000
46,7658,NridgHt,9,5,2005,456,1752,1752,2,0,6,2,0,319900
47,12822,Mitchel,7,5,2003,1351,1518,2149,1,1,6,2,0,239686
48,11096,Somerst,8,5,2006,24,1656,1656,2,0,7,3,0,249700
49,4456,OldTown,4,5,1920,0,736,1452,2,0,8,0,0,113000
50,7742,Sawyer,5,7,1966,763,955,955,1,0,6,1,0,127000
51,13869,Gilbert,6,6,1997,182,794,1470,2,0,6,2,0,177000
52,6240,BrkSide,6,6,1934,0,816,1176,1,0,6,2,0,114500
53,8472,IDOTRR,5,5,1963,104,816,816,1,0,5,2,0,110000
54,50271,Veenker,9,5,1981,1810,1842,1842,0,1,5,3,0,385000
55,7134,NAmes,5,5,1955,384,1360,1360,1,0,6,2,0,130000
56,10175,NAmes,6,5,1964,490,1425,1425,2,0,7,2,0,180500
57,2645,Somerst,8,5,1999,649,983,1739,2,1,7,2,0,172500
58,11645,CollgCr,7,5,2004,0,860,1720,2,1,7,2,0,196500
59,13682,StoneBr,10,5,2006,0,1426,2945,3,1,10,3,0,438780
60,7200,CollgCr,5,7,1972,632,780,780,1,0,4,1,0,124900
61,13072,SawyerW,6,5,2004,941,1158,1158,1,1,5,2,0,158000
62,7200,IDOTRR,5,7,1920,0,581,1111,1,0,6,1,0,101000
63,6442,NridgHt,8,5,2006,24,1370,1370,2,0,6,2,0,202500
64,10300,OldTown,7,6,1921,0,902,1710,2,0,9,2,0,140000
65,9375,CollgCr,7,5,1997,739,1057,2034,2,1,8,2,0,219500
66,9591,NridgHt,8,5,2004,0,1143,2473,2,1,9,3,0,317000
67,19900,NAmes,7,5,1970,912,2207,2207,2,0,7,2,0,180000
68,10665,CollgCr,7,5,2003,1013,1479,1479,2,0,7,2,0,226000
69,4608,OldTown,4,6,1945,0,747,747,1,0,4,1,0,80000
70,15593,ClearCr,7,4,1953,603,1304,2287,2,0,7,2,0,225000
71,13651,NAmes,7,6,1973,1880,2223,2223,2,0,8,2,0,244000
72,7599,Mitchel,4,6,1982,565,845,845,1,0,4,2,0,129500
73,10141,Gilbert,7,5,1998,0,885,1718,2,1,7,2,0,185000
74,10200,NAmes,5,7,1954,320,1086,1086,1,0,6,2,0,144900
75,5790,OldTown,3,6,1915,0,840,1605,2,0,8,1,0,107400
76,1596,MeadowV,4,5,1973,462,526,988,1,0,5,1,0,91000
77,8475,NAmes,4,7,1956,228,952,952,1,0,4,1,0,135750
78,8635,BrkSide,5,5,1948,336,1072,1285,1,0,6,1,0,127000
79,10778,Sawyer,4,5,1968,0,1768,1768,2,0,8,0,0,136500
80,10440,OldTown,5,6,1910,0,682,1230,1,1,5,2,0,110000
81,13000,NAmes,6,6,1968,448,1182,2142,2,1,8,1,0,193500
82,4500,Mitchel,6,5,1998,1201,1337,1337,2,0,5,2,0,153500
83,10206,Somerst,8,5,2007,33,1563,1563,2,0,6,3,0,245000
84,8892,NAmes,5,5,1960,0,1065,1065,1,1,6,2,0,126500
85,8530,Gilbert,7,5,1995,0,804,1474,2,1,7,2,0,168500
86,16059,NoRidge,8,5,1991,0,1301,2417,2,1,9,2,0,260000
87,11911,Gilbert,6,5,2005,0,684,1560,2,1,6,2,0,174000
88,3951,Somerst,6,5,2009,0,612,1224,2,1,4,2,0,164500
89,8470,IDOTRR,3,2,1915,0,1013,1526,1,0,6,0,0,85000
90,8070,CollgCr,4,5,1994,588,990,990,1,0,5,0,0,123600
91,7200,NAmes,4,5,1950,0,1040,1040,1,0,4,2,0,109900
92,8500,NAmes,5,3,1961,600,1235,1235,1,0,6,2,0,98600
93,13360,Crawfor,5,7,1921,713,964,964,1,0,5,2,0,163500
94,7200,OldTown,6,6,1910,1046,1260,2291,2,0,9,2,0,133900
95,9337,CollgCr,6,5,1997,648,905,1786,2,1,7,2,0,204750
96,9765,Gilbert,6,8,1993,310,680,1470,2,1,6,2,0,185000
97,10264,CollgCr,7,5,1999,1162,1588,1588,2,0,6,2,0,214000
98,10921,Edwards,4,5,1965,520,960,960,1,0,6,1,0,94750
99,10625,Edwards,5,5,1920,108,835,835,1,0,5,1,0,83000
100,9320,NAmes,4,5,1959,569,1225,1225,1,1,6,0,0,128950
101,10603,NWAmes,6,7,1977,1200,1610,1610,2,0,6,2,0,205000
102,9206,SawyerW,6,5,1985,0,977,1732,2,1,7,2,0,178000
103,7018,SawyerW,5,5,1979,0,1535,1535,2,0,8,2,0,118964
104,10402,CollgCr,7,5,2009,0,1226,1226,2,0,6,3,0,198900
105,7758,IDOTRR,7,4,1931,224,1226,1818,1,1,7,1,0,169500
106,9375,Somerst,8,5,2003,0,1053,1992,2,1,9,2,0,250000
107,10800,OldTown,4,7,1885,0,1047,1047,1,0,6,1,0,100000
108,6000,OldTown,5,5,1948,104,789,789,1,0,5,1,0,115000
109,8500,IDOTRR,5,7,1919,0,997,1517,2,0,7,0,0,115000
110,11751,NWAmes,6,6,1977,705,1844,1844,2,0,7,2,0,190000
111,9525,Edwards,6,4,1954,444,1216,1855,2,0,7,1,0,136900
112,7750,Gilbert,7,5,2000,250,774,1430,2,1,7,2,0,180000
113,9965,CollgCr,7,5,2007,984,1282,2696,2,1,10,3,0,383970
114,21000,Crawfor,6,5,1953,35,2259,2259,2,0,7,2,0,217000
115,7259,Crawfor,6,8,1945,774,1436,2320,2,1,9,1,0,259500
116,3230,Somerst,6,5,1999,419,729,1458,2,1,5,2,0,176000
117,11616,Sawyer,5,5,1962,170,1092,1092,1,0,6,1,0,139000
118,8536,Edwards,5,5,2006,0,1125,1125,1,1,5,2,0,155000
119,12376,SawyerW,7,5,1990,1470,1699,3222,3,0,11,3,0,320000
120,8461,CollgCr,6,5,2005,0,728,1456,2,1,8,2,0,163990
121,21453,ClearCr,6,5,1969,938,988,988,1,0,4,2,0,180000
122,6060,IDOTRR,4,5,1939,0,772,1123,1,0,4,1,0,100000
123,9464,NAmes,6,7,1958,570,1080,1080,1,0,5,1,0,136000
124,7892,SawyerW,6,5,1993,300,1199,1199,2,0,5,2,0,153900
125,17043,NWAmes,6,5,1979,0,1586,1586,2,0,7,2,0,181000
126,6780,IDOTRR,6,8,1935,490,520,754,1,0,5,0,0,84500
127,4928,NPkVill,6,5,1976,120,958,958,2,0,5,2,0,128000
128,4388,OldTown,5,7,1930,116,840,840,1,0,5,0,0,87000
129,7590,NAmes,6,5,1966,512,660,1348,1,1,6,2,0,155000
130,8973,NAmes,5,7,1958,567,1053,1053,1,1,6,2,0,150000
131,14200,NAmes,7,6,1966,445,1216,2157,2,1,8,2,0,226000
132,12224,Gilbert,6,5,2000,695,1022,2054,2,1,7,2,0,244000
133,7388,NAmes,5,6,1959,405,1327,1327,1,0,7,2,0,150750
134,6853,Timber,8,5,2001,1005,1296,1296,2,0,6,2,0,220000
135,10335,Sawyer,5,6,1968,570,1721,1721,2,1,7,2,0,180000
136,10400,NWAmes,7,6,1970,0,1682,1682,2,0,7,2,0,174000
137,10355,NAmes,5,5,1967,695,1214,1214,2,0,5,1,0,143000
138,11070,Mitchel,7,5,1988,0,1959,1959,3,0,9,3,0,171000
139,9066,CollgCr,8,5,1999,668,1004,1852,2,1,7,3,0,230000
140,15426,CollgCr,6,5,1997,821,928,1764,2,1,7,2,0,231500
141,10500,NAmes,4,5,1971,432,864,864,1,0,5,0,0,115000
142,11645,CollgCr,7,5,2005,1300,1734,1734,2,0,7,2,0,260000
143,8520,NAmes,5,4,1952,507,910,1385,2,0,6,2,0,166000
144,10335,CollgCr,7,5,1999,679,1501,1501,2,0,6,2,0,204000
145,9100,Sawyer,5,5,1963,1332,1728,1728,2,0,10,2,0,125000
146,2522,Edwards,6,5,2004,0,970,1709,2,0,7,2,0,130000
147,6120,BrkSide,5,7,1931,209,875,875,1,0,5,1,0,105000
148,9505,Gilbert,7,5,2001,0,884,2035,2,1,8,2,0,222500
149,7500,SawyerW,7,5,2004,680,1080,1080,1,0,6,0,0,141000
150,6240,BrkSide,5,4,1936,0,896,1344,1,0,7,1,0,115000
151,10356,CollgCr,5,6,1975,716,969,969,1,1,5,2,0,122000
152,13891,NridgHt,8,5,2007,1400,1710,1710,2,0,6,3,0,372402
153,14803,NWAmes,6,5,1971,416,1097,1993,2,1,8,2,0,190000
154,13500,ClearCr,6,7,1960,429,1252,1252,1,0,4,2,0,235000
155,11340,OldTown,6,5,1923,0,1200,1200,1,0,7,1,0,125000
156,9600,Edwards,6,5,1924,0,572,1096,1,0,5,0,0,79000
157,7200,NAmes,5,7,1950,0,1040,1040,1,0,5,2,0,109500
158,12003,Timber,8,5,2009,0,774,1968,2,1,8,3,0,269500
159,12552,Somerst,7,5,2004,222,991,1947,2,1,8,2,0,254900
160,19378,Gilbert,7,5,2005,57,1392,2462,2,1,9,2,0,320000
161,11120,Veenker,6,6,1984,660,1232,1232,2,0,6,2,0,162500
162,13688,NridgHt,9,5,2003,1016,1572,2668,2,1,10,3,0,412500
163,12182,NridgHt,7,5,2005,1201,1541,1541,2,0,7,2,0,220000
164,5500,OldTown,4,6,1956,0,882,882,1,0,4,0,0,103200
165,5400,OldTown,6,7,1926,370,1149,1616,2,0,5,1,0,152000
166,10106,Edwards,5,7,1940,351,808,1355,2,0,6,0,0,127500
167,10708,ClearCr,5,5,1955,379,1867,1867,1,0,7,1,0,190000
168,10562,NridgHt,8,5,2007,1288,1610,2161,1,1,8,3,0,325624
169,8244,Gilbert,7,5,2004,0,840,1720,2,1,7,2,0,183500
170,16669,Timber,8,6,1981,0,1707,1707,2,1,6,2,0,228000
171,12358,OldTown,5,6,1941,360,854,1382,1,1,7,2,0,128500
172,31770,NAmes,6,5,1960,639,1656,1656,1,0,7,2,0,215000
173,5306,StoneBr,7,7,1987,495,1064,1767,2,0,5,2,0,239000
174,10197,NAmes,6,5,1961,288,1362,1362,1,1,6,2,0,163000
175,12416,Timber,6,5,1986,1398,1651,1651,2,0,7,2,0,184000
176,12615,Edwards,6,7,1950,477,2158,2158,2,0,7,2,0,243000
177,10029,ClearCr,6,5,1988,831,1164,2060,2,1,8,2,0,211000
178,13650,Sawyer,5,5,1958,57,1252,1920,2,0,8,2,0,172500
179,17423,StoneBr,9,5,2008,1904,2234,2234,2,0,9,3,0,501837
180,8520,OldTown,5,6,1923,0,968,968,1,0,5,2,0,100000
181,2117,Somerst,6,5,2000,436,769,1525,2,1,5,2,0,177000
182,7588,Crawfor,7,6,1920,352,901,1802,1,1,9,1,0,200100
183,9060,Edwards,5,6,1957,0,1340,1340,1,0,7,1,0,120000
184,11426,OldTown,7,5,2003,0,1362,2082,2,1,6,2,0,200000
185,7438,BrkSide,5,8,1908,0,936,1252,1,0,5,2,0,127000
186,22950,OldTown,10,9,1892,0,1518,3608,2,1,12,3,0,475000
187,9947,Mitchel,7,5,1990,611,1217,1217,2,0,6,2,0,173000
188,10410,OldTown,5,7,1916,0,808,1656,2,1,8,1,0,135000
189,7018,SawyerW,5,5,1979,1086,1224,1224,0,2,6,2,0,153337
190,4923,StoneBr,8,5,2001,1153,1593,1593,1,1,5,2,0,286000
191,10570,Crawfor,8,8,1932,297,1549,2727,2,1,10,2,0,315000
192,7472,NAmes,7,9,1972,626,725,1479,1,1,7,2,0,184000
193,9017,CollgCr,7,5,1999,560,1431,1431,2,0,6,2,0,192000
194,2522,Edwards,7,5,2004,0,970,1709,2,0,7,2,0,130000
195,7180,CollgCr,5,7,1972,390,864,864,1,0,5,1,0,127000
196,2280,NPkVill,6,6,1976,566,855,1456,2,1,7,2,0,148500
197,9416,Somerst,7,5,2007,1126,1726,1726,2,0,8,3,0,311872
198,25419,NAmes,8,4,1918,1036,1360,3112,2,0,8,2,512,235000
199,5520,OldTown,6,6,1912,0,929,2229,1,0,8,0,0,104000
200,9591,NridgHt,8,5,2004,1088,1713,1713,2,0,7,3,0,274900
201,8546,Edwards,4,5,2003,0,1121,1121,2,0,5,2,0,140000
202,10125,Mitchel,6,6,1977,641,1279,1279,2,0,6,2,0,171500
203,7000,OldTown,6,6,1924,617,865,1310,2,0,6,1,0,112000
204,4438,CollgCr,6,5,2004,662,848,848,1,0,3,2,0,149000
205,3500,OldTown,5,7,1947,312,720,1284,1,1,5,1,0,110000
206,11851,Gilbert,7,5,1990,0,1442,1442,2,0,5,2,0,180500
207,13673,Sawyer,5,5,1962,0,1696,1696,1,1,8,1,0,143900
208,12493,NAmes,4,5,1960,419,1100,1100,1,0,6,1,0,141000
209,14364,SawyerW,7,5,1988,1065,1180,2062,2,1,7,2,0,277000
210,8250,NAmes,6,7,1964,787,1092,1092,1,0,6,2,0,145000
211,5604,Edwards,5,6,1925,468,864,864,1,0,5,0,0,98000
212,10420,Edwards,6,5,2009,36,1212,1212,2,0,6,2,0,186000
213,8640,Somerst,7,5,2009,822,932,1852,2,1,7,2,0,252678
214,13568,CollgCr,5,5,1995,716,990,990,1,0,5,2,0,156000
215,10900,CollgCr,6,7,1977,378,689,1392,1,1,6,1,0,161750
216,10011,NAmes,5,6,1957,360,1236,1236,1,0,6,1,0,134450
217,8450,CollgCr,7,5,2004,946,1436,1436,2,0,8,2,0,210000
218,9906,OldTown,4,4,1925,0,810,1328,1,0,8,1,0,107000
219,15660,Crawfor,7,9,1939,341,1137,1954,1,1,8,2,0,311500
220,3010,Blmngtn,7,5,2005,16,1248,1248,2,0,5,2,0,167240
221,8990,CollgCr,7,5,2006,0,1498,1498,2,0,5,2,0,204900
222,8068,Gilbert,6,5,2002,0,1010,2267,2,1,8,2,0,200000
223,11475,NWAmes,6,6,1975,550,811,1552,2,1,6,2,0,179900
224,10500,NAmes,4,6,1971,524,864,864,1,0,4,2,0,97000
225,13472,NridgHt,10,5,2003,56,2392,2392,2,0,8,3,0,386250
226,1680,BrDale,5,5,1971,0,630,1302,2,1,6,1,0,112000
227,9950,NoRidge,7,5,1995,565,1214,2520,2,1,9,3,0,290000
228,1869,BrDale,6,6,1970,321,483,987,1,1,5,1,0,106000
229,8521,Sawyer,5,5,1967,842,912,912,1,0,5,1,0,125000
230,3182,Blmngtn,7,5,2005,16,1555,1555,2,0,7,2,0,192500
231,8760,NAmes,6,6,1959,0,1194,1194,1,0,6,1,0,148000
232,15138,NoRidge,8,5,1995,689,1490,2794,2,1,9,3,0,403000
233,1680,BrDale,6,5,1972,0,483,987,1,1,5,1,0,94500
234,10650,CollgCr,5,6,1976,182,894,894,1,0,5,1,0,128200
235,7851,Gilbert,6,5,2002,625,860,1960,2,1,8,2,0,216500
236,1680,BrDale,6,3,1971,358,483,987,1,1,5,1,0,89500
237,8773,CollgCr,7,5,2004,24,1414,1414,2,0,6,2,0,185500
238,9453,SawyerW,7,7,1993,402,1014,1744,2,1,7,2,0,194500
239,12030,NridgHt,8,5,2007,0,1694,1694,2,0,7,3,0,318000
240,8741,Edwards,6,4,1945,94,798,1487,1,1,7,1,0,113000
241,9000,Somerst,8,5,2008,1078,1566,1566,2,0,7,2,0,262500
242,3880,OldTown,5,9,1945,329,866,866,1,0,4,0,0,110500
243,5000,OldTown,5,4,1900,0,889,1440,1,0,6,1,0,79000
244,10762,SawyerW,6,6,1980,0,626,1217,1,1,6,1,0,120000
245,8880,SawyerW,7,5,1994,695,1222,2110,2,1,8,2,0,205000
246,10400,NWAmes,7,5,1988,929,1872,1872,2,0,6,2,0,241500
247,9142,OldTown,6,8,1910,0,908,1928,2,0,9,1,0,137000
248,11310,NAmes,6,5,1954,0,1375,1375,1,0,5,2,0,140000
249,11317,CollgCr,7,5,2003,0,840,1668,2,1,8,2,0,180000
250,159000,ClearCr,6,7,1958,697,1444,2144,2,0,7,2,0,277000
251,5350,BrkSide,3,2,1940,0,1306,1306,1,0,6,0,0,76500
252,4750,Crawfor,8,5,2006,1573,1625,1625,2,0,5,2,0,235000
253,8366,SawyerW,6,5,2004,0,798,1640,2,1,6,2,0,173000
254,9350,NAmes,6,7,1964,270,1302,1302,2,0,7,1,0,158000
255,8400,NAmes,5,6,1957,922,1314,1314,1,0,5,1,0,145000
256,8738,Gilbert,7,5,1999,0,1005,2291,2,1,8,2,0,230000
257,8791,Somerst,6,5,2003,503,864,1728,2,1,7,2,0,207500
258,8814,CollgCr,7,5,2006,1334,1604,1604,2,1,8,2,0,220000
259,12435,CollgCr,7,5,2001,361,963,1792,2,1,7,2,0,231500
260,12702,OldTown,5,5,1956,0,882,882,1,0,4,1,0,97000
261,19296,NAmes,6,5,1962,672,1382,1382,1,0,6,2,0,176000
262,9588,CollgCr,8,5,2007,0,1482,2574,2,1,10,3,0,276000
263,8471,Sawyer,6,7,1977,506,1212,1212,1,0,6,2,0,151000
264,5500,OldTown,5,7,1929,234,926,1316,1,0,6,2,0,130000
265,5232,OldTown,5,5,1925,0,764,764,1,0,4,2,0,73000
266,12090,NWAmes,6,6,1981,588,1422,1422,2,0,7,2,0,175500
267,11207,Gilbert,6,5,1997,714,802,1511,2,1,8,2,0,185000
268,8400,SWISU,5,8,1939,378,1052,2192,2,1,8,1,0,179500
269,6900,IDOTRR,5,6,1940,403,778,778,1,0,4,1,0,120500
270,7917,Edwards,6,7,1976,751,1113,1113,1,1,6,1,0,148000
271,10728,Somerst,8,5,2006,0,1095,1939,2,1,8,3,0,266000
272,39104,ClearCr,7,7,1954,226,1363,1363,1,0,5,2,0,241500
273,11764,NoRidge,8,7,1999,524,1164,2270,2,1,9,3,0,290000
274,9600,NAmes,6,6,1958,620,1632,1632,2,0,6,1,0,139000
275,8314,Mitchel,5,7,1982,546,816,816,1,0,5,1,0,124500
276,7264,BrkSide,7,7,1925,0,952,1548,2,1,5,2,0,205000
277,9196,Mitchel,7,5,2003,0,1560,1560,2,0,7,2,0,201000
278,19138,Gilbert,4,5,1951,120,864,864,1,0,4,2,0,141000
279,14450,NridgHt,9,5,2006,0,2121,2121,2,1,8,3,0,415298
280,10005,ClearCr,7,5,1977,392,1156,2022,2,1,8,2,0,192000
281,11287,SawyerW,7,6,1989,421,1175,1982,2,1,7,2,0,228500
282,7200,Somerst,6,5,2006,905,1262,1262,2,0,5,2,0,185000
283,5063,NridgHt,7,5,2007,904,1314,1314,2,0,6,2,0,207500
284,9612,Somerst,8,5,2008,0,1468,1468,2,0,6,3,0,244600
285,8012,SawyerW,6,5,1992,430,1575,1575,2,0,5,2,0,179200
286,4251,Somerst,7,5,2006,0,625,1250,2,1,5,2,0,164700
287,9786,NAmes,6,7,1962,600,1085,1734,1,1,7,2,0,159000
288,8125,NAmes,4,4,1971,614,858,858,1,0,5,0,0,88000
289,9819,Sawyer,5,5,1967,450,900,900,1,0,5,1,0,122000
290,8730,BrkSide,6,7,1915,0,698,1396,1,0,7,1,0,153575
291,15611,CollgCr,8,5,2006,0,1079,1919,2,1,8,2,0,233230
292,5687,SWISU,5,6,1912,210,936,1716,2,0,9,0,0,135900
293,11409,Edwards,5,4,1949,292,1148,1716,1,1,8,1,0,131000
294,16659,NWAmes,7,7,1977,795,1468,2263,2,1,9,2,0,235000
295,9600,NAmes,6,5,1953,1285,1644,1644,1,0,7,2,0,167000
296,7937,Mitchel,6,6,1984,819,1003,1003,1,0,6,2,0,142500
297,13710,IDOTRR,5,5,1950,420,910,1558,1,1,6,1,0,152000
298,7399,Somerst,7,5,1997,649,975,1950,2,1,7,2,0,239000
299,11700,NWAmes,6,6,1968,384,1041,1743,1,2,7,2,0,175000
300,14000,Crawfor,6,8,1950,0,1152,1152,1,0,6,1,0,158500
301,15750,Crawfor,5,5,1953,841,1336,1336,1,0,5,1,0,157000
302,16226,CollgCr,8,5,1998,281,1210,2452,2,1,9,2,0,267000
303,13704,CollgCr,7,5,2001,0,1541,1541,2,0,6,3,0,205000
304,9800,CollgCr,5,7,1972,894,894,894,1,0,5,2,0,149900
305,18386,OldTown,7,9,1880,0,1675,3493,3,0,10,3,0,295000
306,10386,CollgCr,8,5,2004,1464,2000,2000,2,0,8,3,0,305900
307,13474,SawyerW,7,5,1990,700,1122,2243,2,1,8,3,0,225000
308,7920,IDOTRR,6,7,1920,0,1035,1406,1,0,6,0,0,89500
309,12342,Edwards,4,5,1940,262,861,861,1,0,4,2,0,82500
310,12378,NridgHt,9,5,2003,1274,1944,1944,2,0,8,3,0,360000
311,7685,Gilbert,6,5,1993,518,697,1501,2,1,6,2,0,165600
312,8000,NAmes,6,6,1948,680,972,972,1,0,5,1,0,132000
313,7800,OldTown,5,7,1939,507,793,1118,1,0,5,2,0,119900
314,215245,Timber,7,5,1965,1236,2036,2036,2,0,8,2,0,375000
315,9600,OldTown,7,7,1925,16,832,1641,1,1,6,2,0,178000
316,7795,Gilbert,7,5,2004,425,716,1432,2,1,6,2,0,188500
317,13005,NWAmes,7,7,1980,692,1153,2353,2,1,10,2,0,260000
318,9000,Somerst,8,5,2006,0,1088,1959,2,1,8,3,0,270000
319,9900,NoRidge,7,5,1993,987,1372,2646,2,1,9,3,0,260000
320,14115,NWAmes,7,5,1980,1036,1472,1472,2,0,6,2,0,187500
321,16259,NridgHt,9,5,2006,0,1249,2596,3,1,9,3,0,342643
322,12099,NridgHt,8,5,2004,970,1136,2468,2,1,10,3,0,354000
323,10380,SawyerW,7,5,1986,28,1553,2730,2,1,8,2,0,301000
324,5820,OldTown,3,8,1955,256,1163,1163,1,0,6,1,0,126175
325,11275,NAmes,7,7,1967,0,1898,2978,2,1,11,2,0,242000
326,5000,IDOTRR,5,6,1941,116,803,803,1,0,5,2,0,87000
327,10846,Veenker,8,5,1993,1619,1719,1719,1,1,6,2,0,324000
328,11600,NAmes,6,5,1960,565,1383,1383,1,1,7,1,0,145250
329,11888,BrkSide,6,6,1916,0,1445,2134,2,0,10,2,0,214500
330,6402,IDOTRR,5,5,1920,0,596,1192,1,0,6,1,0,78000
331,10624,NAmes,5,4,1964,40,1728,1728,2,0,10,1,0,119000
332,8176,NAmes,5,6,1958,846,1056,1056,1,0,6,1,0,139000
333,10655,NridgHt,8,5,2003,1124,1629,1629,2,0,7,3,0,284000
334,8198,NridgHt,7,5,2004,720,1358,1358,2,0,6,2,0,207000
335,9042,Gilbert,6,5,1998,828,943,1638,2,1,7,2,0,192000
336,164660,Timber,5,6,1965,1249,1619,1786,2,0,7,2,0,228950
337,14157,StoneBr,9,5,2005,1249,1922,1922,2,0,8,3,0,377426
338,9135,CollgCr,7,5,2002,810,1536,1536,2,0,7,2,0,214000
339,14145,NWAmes,7,7,1984,213,1621,1621,2,0,8,2,0,202500
340,12400,NAmes,6,7,1958,585,1215,1215,1,0,6,1,0,155000
341,14191,Timber,8,5,2002,0,993,1908,2,1,9,2,0,202900
342,8400,SawyerW,4,4,1950,0,841,841,1,0,4,1,0,82000
343,8544,NAmes,3,4,1949,0,1040,1040,2,0,6,2,0,87500
344,8849,NridgHt,9,5,2005,28,1684,1684,2,0,6,2,0,266000
345,2592,MeadowV,5,3,1976,129,536,1112,1,1,4,1,0,85000
346,6435,BrkSide,6,5,1939,0,972,1577,1,0,6,1,0,140200
347,12772,NAmes,6,8,1960,498,958,958,1,0,5,1,0,151500
348,17600,NAmes,6,5,1960,1270,1478,1478,2,0,6,2,0,157500
349,2448,NridgHt,7,5,2003,573,764,1626,2,1,6,2,0,154000
350,20431,NridgHt,9,5,2005,1410,1848,2728,2,1,10,3,0,437154
351,7820,NridgHt,9,5,2007,0,1869,1869,2,0,6,2,0,318061
352,5271,ClearCr,7,5,1986,1082,1453,1453,1,1,6,2,0,190000
353,9084,Edwards,5,6,1941,236,616,1111,1,0,5,1,0,95000
354,8520,OldTown,6,8,1928,0,720,720,1,0,5,2,0,105900
355,8400,SWISU,6,5,1940,388,1192,1595,1,0,6,1,0,140000
356,11249,CollgCr,6,5,1995,334,1200,1200,2,0,6,2,0,177500
357,9248,Gilbert,6,6,1992,560,1167,1167,2,0,6,2,0,173000
358,4224,MeadowV,5,5,1976,874,1142,1142,1,1,6,2,0,134000
359,6930,ClearCr,5,4,1958,300,1352,1352,1,0,6,1,0,130000
360,12011,NoRidge,8,5,1998,956,1086,1924,2,1,7,2,0,280000
361,7540,Mitchel,6,6,1978,773,912,912,1,0,5,2,0,156000
